epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.15958715975284576,5.339627265930176,1e-04,0.19445586204528809,4.845407009124756
1,0.20440691709518433,4.695523262023926,1e-04,0.22609515488147736,4.572758674621582
2,0.23252519965171814,4.400943756103516,1e-04,0.24709126353263855,4.3891167640686035
3,0.25214141607284546,4.192863464355469,1e-04,0.2620643079280853,4.259201526641846
4,0.2663216292858124,4.036336421966553,1e-04,0.2728767991065979,4.156768798828125
5,0.2775114178657532,3.9160897731781006,1e-04,0.27914178371429443,4.09028434753418
6,0.28641000390052795,3.816365957260132,1e-04,0.2855035066604614,4.0353899002075195
7,0.2929386496543884,3.737236261367798,1e-04,0.29290536046028137,3.991567850112915
8,0.30005449056625366,3.6669201850891113,1e-04,0.2970658540725708,3.954895257949829
9,0.30610188841819763,3.6042540073394775,1e-04,0.30052489042282104,3.922175407409668
10,0.31165894865989685,3.5498766899108887,1e-04,0.30451610684394836,3.900181293487549
11,0.3165440857410431,3.499189853668213,1e-04,0.3096925616264343,3.883937120437622
12,0.32186809182167053,3.450697183609009,1e-04,0.3128371238708496,3.867579936981201
13,0.3259299695491791,3.4133126735687256,1e-04,0.31479644775390625,3.855626344680786
14,0.32989194989204407,3.3746533393859863,1e-04,0.3151108920574188,3.8355679512023926
15,0.33336663246154785,3.337139129638672,1e-04,0.31704604625701904,3.851208448410034
16,0.33697447180747986,3.3046693801879883,1e-04,0.3178926408290863,3.8180501461029053
17,0.3409818708896637,3.268505334854126,1e-04,0.3201664090156555,3.827057361602783
18,0.3432186245918274,3.2394988536834717,1e-04,0.3214242458343506,3.8254237174987793
19,0.3505796194076538,3.1688172817230225,5e-05,0.32357707619667053,3.8282065391540527
